LocID,LocName,Latitude,Longitude
132036,29 Mason Circle,41.5131,-73.946701
132021,Lexus Middletown NY,41.419299,-74.428106
131997,Saxon Woods Golf Course,40.978885,-73.760686
131979,"Matamoras, PA Supercharger",41.353461,-74.72394
131927,Peconic Bay Medical Center,40.934826,-72.67441
131926,Peconic Bay Medical Center,40.935887,-72.672313
131921,Fishkill Endovascular,41.53146,-73.886657
131920,APEX Orange Crossing,40.770523,-74.230418
131750,FedEx Drop Box,40.807705,-73.17718
131749,SMG ABA LLC,40.807037,-73.17809
131735,Guilford High School,41.312788,-72.710531
131708,Cortlandt Farm,41.292406,-73.865493
131703,Campus at Greenhill,41.478889,-72.775522
131397,510 Grand Avenue,40.85511,-73.99809
131187,Maritime Chevrolet,41.14563,-73.251543
131145,Yonkers Police Department - 2nd Precinct,40.919447,-73.868721
131106,Department of Public Works - Public,40.964129,-73.871953
131104,Romaine Avenue Parking,40.91961,-73.895709
131103,Yonkers NY Police Department - 3rd Precinct,40.917167,-73.902041
131102,Yonkers Police Department - 1st Precinct,40.975478,-73.843042
131005,Great Neck Plaza Village Hall,40.787424,-73.729999
130893,Johnson Buick GMC Cadillac,40.853794,-74.777615
130808,Prestige Automotive,41.066821,-74.132077
130801,Adventureland,40.753122,-73.417771
130781,1 Duracell Drive,41.4283511,-73.4065045
130749,Current On River,40.887219,-74.040162
130639,All American Ford of Paramus,40.946415,-74.072427
130637,Ideal Food,40.609414,-75.383393
130626,Equinox Darien,41.070249,-73.493087
130597,Hotel Nyack,41.09494,-73.93175
130553,bp Gas Station,40.710016,-74.307607
130437,920 West Campus Drive,41.260696,-72.987348
130435,Morris Market,40.813623,-74.476816
130418,Westbrook Inn Bed & Breakfast,41.283466,-72.455568
130350,"Montefiore Nyack Hospital - Nyack, NY",41.09679,-73.925698
130338,Faulkner Chevrolet Cadillac,40.662065,-75.387206
130229,Tompkins Community Bank,41.372623,-73.733954
130165,Vista Apartments,41.331335,-73.118311
130106,McDonalds,41.665087,-73.93052
130101,"Simon Cape Cod Mall - Hyannis, MA",41.66449,-70.29492
130075,Mercedes-Benz of Orange County,41.316275,-74.142409
130049,BMW of Westchester,41.044529,-73.80371
130042,60 Kellogg Street,40.711569,-74.102108
129979,Wesleyan University,41.54889,-72.66506
129977,Wesleyan University,41.55933,-72.65806
129972,PayServ Payroll Solutions,41.1133,-73.995399
129950,Harriman Avenue Parking,40.972128,-73.889165
129883,Magnolia Court,40.9679279,-76.5837898
129686,"University of Connecticut, Stamford",41.057072,-73.543509
129683,200 East Eckerson Road Parking,41.125999,-74.024002
129661,Building B Clubhouse,40.67503,-74.248824
129658,Middletown Toyota,41.576343,-72.671739
129641,Superior Realty Group,40.61517985216326,-74.0319846196921
129598,Brogan Cadillac Co.,40.891766,-74.224444
129570,WB Electric,40.949297,-75.65153
129567,Taylor Place Garage,40.7466923,-74.2585749
129523,Union Crescent Plaza,40.717784,-74.286287
129439,DCH Millburn Audi,40.722045,-74.284567
129394,550 Prospect Place,40.675159,-73.958501
129352,Bernards Township - Downtown Parking Lot,40.70491,-74.5478
129350,Mount Saint Mary's College,41.511923,-74.014634
129324,Howe Street Garage,41.31018,-72.93519
129301,"East Haven, CT Supercharger",41.286296,-72.877392
129298,RT 15 Greenwich NB Service Plaza,41.041649,-73.671741
129230,Yale University,41.315566,-72.928336
129140,200 US-1 Visitor's Parking,41.104676,-73.432036
129064,Empire Mazda of Huntington,40.833718,-73.386112
129045,Simon Woodbury Commons Premium Outlet,41.31402,-74.12405
128888,Prestige Volvo Cars Englewood,40.899116,-73.97041
128805,Robert Treat Hotel - Tesla Destination,40.738496,-74.167206
128773,"Clark, NJ Supercharger",40.627689,-74.301528
128714,Courtyard by Marriott Paramus,40.942199,-74.070491
128656,Del Webb Florham Park,40.775546,-74.422665
128625,Enterprise 24,40.7390384,-73.982112
128577,Park-it Area Garage - Tesla Destination,40.7156449097173,-73.9808096971768
128548,Ira Toyota of Hyannis,41.672621,-70.303035
128511,AAA Tire and Auto Service Southington,41.637329,-72.873444
128498,Yale Printing and Publishing Services,41.324828,-72.92943
128391,Westbrook Toyota,41.290754,-72.442857
128368,Columbia NJ Shell,40.918636,-75.083962
128346,Millennium Toyota,40.714469,-73.630539
127964,Waters Edge Resort & Spa,41.281083,-72.437962
127935,Saybrook Ford,41.299821,-72.374957
127744,One Park Condos,40.814557,-73.988702
127686,Bonner Chevrolet,41.272387,-75.886866
127675,Plainview-Old Bethpage Library,40.774882,-73.473171
127632,Fahy Commons,40.595699,-75.507896
127618,380 Central Avenue,40.765003,-74.23892
127516,Cooper Electric,40.608334,-74.250714
126849,Langway Toyota of Newport,41.519122,-71.291083
126827,270 Highland Lane,40.839638,-75.516911
126822,Saugatuck Station – Lot 1,41.11944261,-73.37289805
126821,Green's Farms Tailroad Station,41.12241245,-73.31626623
126717,"Brown-Daub Hyundai - Easton, PA",40.69569,-75.291541
126655,"Trump Golf Links, Ferry Point - Tesla Destination",40.812459,-73.83447
126623,Monticello Motor Club - Tesla Destination,41.620009743362594,-74.69680522122594
126568,Atlantic Golf Club - Tesla Destination,40.946884,-72.336135
126543,ProPark 110-45 Queens Blvd - Tesla Destination,40.719885,-73.83857
