speed,travel_time,status,data_as_of,link_id
12.42,691,-101,2025-07-14T15:43:09.000,4616298
9.94,882,-101,2025-07-14T15:33:09.000,4616298
6.21,1385,-101,2025-07-14T15:28:10.000,4616298
11.8,731,-101,2025-07-14T15:23:10.000,4616298
0,0,-101,2025-07-14T15:18:09.000,4616298
0,0,-101,2025-07-14T15:13:09.000,4616298
12.42,705,-101,2025-07-14T15:08:09.000,4616298
11.8,747,-101,2025-07-14T15:03:10.000,4616298
9.94,855,-101,2025-07-14T14:58:08.000,4616298
12.42,706,-101,2025-07-14T14:53:10.000,4616298
9.32,910,-101,2025-07-14T14:48:09.000,4616298
11.8,735,-101,2025-07-14T14:38:09.000,4616298
11.8,725,0,2025-07-14T14:33:10.000,4616298
12.42,719,0,2025-07-14T14:28:09.000,4616298
13.04,685,-101,2025-07-14T14:23:11.000,4616298
13.04,670,-101,2025-07-14T14:18:09.000,4616298
13.67,642,-101,2025-07-14T14:13:09.000,4616298
13.67,642,-101,2025-07-14T14:08:09.000,4616298
0,0,-101,2025-07-14T14:03:09.000,4616298
0,0,-101,2025-07-14T13:58:09.000,4616298
0,0,-101,2025-07-14T13:53:09.000,4616298
0,0,-101,2025-07-14T13:48:10.000,4616298
0,0,-101,2025-07-14T13:43:09.000,4616298
0,0,-101,2025-07-14T13:38:09.000,4616298
0,0,-101,2025-07-14T13:33:09.000,4616298
0,0,-101,2025-07-14T13:28:09.000,4616298
0,0,-101,2025-07-14T13:23:10.000,4616298
0,0,-101,2025-07-14T13:18:09.000,4616298
0,0,-101,2025-07-14T13:13:09.000,4616298
0,0,-101,2025-07-14T13:08:09.000,4616298
0,0,-101,2025-07-14T13:03:11.000,4616298
0,0,-101,2025-07-14T12:58:09.000,4616298
0,0,-101,2025-07-14T12:53:10.000,4616298
0,0,-101,2025-07-14T12:48:09.000,4616298
20.5,427,-101,2025-07-14T12:43:09.000,4616298
19.88,445,-101,2025-07-14T12:38:10.000,4616298
18.64,471,-101,2025-07-14T12:33:10.000,4616298
10.56,846,-101,2025-07-14T12:28:10.000,4616298
8.69,1026,-101,2025-07-14T12:23:10.000,4616298
6.83,1265,0,2025-07-14T12:18:10.000,4616298
6.83,1265,0,2025-07-14T12:13:09.000,4616298
0,0,-101,2025-07-14T12:08:09.000,4616298
14.91,599,-101,2025-07-14T12:03:09.000,4616298
8.69,1010,-101,2025-07-14T11:53:10.000,4616298
14.91,595,-101,2025-07-14T11:48:10.000,4616298
11.18,798,-101,2025-07-14T11:43:10.000,4616298
9.32,920,-101,2025-07-14T11:38:09.000,4616298
11.18,790,-101,2025-07-14T11:33:10.000,4616298
4.97,1710,-101,2025-07-14T11:28:10.000,4616298
7.45,1125,-101,2025-07-14T11:23:10.000,4616298
16.15,540,-101,2025-07-14T11:18:10.000,4616298
16.15,540,-101,2025-07-14T11:13:09.000,4616298
15.53,562,-101,2025-07-14T11:08:10.000,4616298
5.59,1514,-101,2025-07-14T11:03:10.000,4616298
5.59,1473,-101,2025-07-14T10:58:09.000,4616298
18.01,487,-101,2025-07-14T10:53:09.000,4616298
18.64,473,-101,2025-07-14T10:48:09.000,4616298
13.67,637,-101,2025-07-14T10:43:09.000,4616298
13.67,637,-101,2025-07-14T10:38:10.000,4616298
19.88,444,-101,2025-07-14T10:33:09.000,4616298
22.36,391,-101,2025-07-14T10:28:09.000,4616298
0,0,-101,2025-07-14T10:23:10.000,4616298
27.96,318,-101,2025-07-14T10:18:10.000,4616298
28.58,313,0,2025-07-14T10:13:10.000,4616298
11.8,726,0,2025-07-14T10:08:10.000,4616298
6.21,1349,-101,2025-07-14T10:03:10.000,4616298
26.71,334,-101,2025-07-14T09:58:10.000,4616298
26.71,334,-101,2025-07-14T09:53:09.000,4616298
0,0,-101,2025-07-14T09:48:09.000,4616298
10.56,822,-101,2025-07-14T09:43:10.000,4616298
22.36,401,0,2025-07-14T09:38:10.000,4616298
21.12,416,-101,2025-07-14T09:33:10.000,4616298
20.5,428,-101,2025-07-14T09:28:09.000,4616298
18.01,493,-101,2025-07-14T09:23:09.000,4616298
15.53,560,-101,2025-07-14T09:18:11.000,4616298
18.01,495,-101,2025-07-14T09:13:09.000,4616298
15.53,570,-101,2025-07-14T09:08:11.000,4616298
15.53,570,-101,2025-07-14T09:03:10.000,4616298
13.67,653,-101,2025-07-14T08:58:10.000,4616298
13.04,671,-101,2025-07-14T08:53:10.000,4616298
11.8,746,-101,2025-07-14T08:48:11.000,4616298
13.67,635,-101,2025-07-14T08:43:09.000,4616298
18.01,485,-101,2025-07-14T08:38:11.000,4616298
19.26,459,-101,2025-07-14T08:33:10.000,4616298
10.56,840,-101,2025-07-14T08:28:10.000,4616298
6.83,1273,-101,2025-07-14T08:23:09.000,4616298
6.83,1273,-101,2025-07-14T08:18:10.000,4616298
21.12,422,-101,2025-07-14T08:13:10.000,4616298
21.12,414,-101,2025-07-14T08:08:10.000,4616298
21.12,423,-101,2025-07-14T08:03:10.000,4616298
20.5,427,-101,2025-07-14T07:58:10.000,4616298
7.45,1149,-101,2025-07-14T07:53:10.000,4616298
4.34,1879,-101,2025-07-14T07:48:10.000,4616298
20.5,437,-101,2025-07-14T07:43:10.000,4616298
20.5,437,-101,2025-07-14T07:38:10.000,4616298
21.74,405,-101,2025-07-14T07:33:10.000,4616298
20.5,434,0,2025-07-14T07:28:09.000,4616298
9.32,962,-101,2025-07-14T07:23:10.000,4616298
18.01,487,-101,2025-07-14T07:18:09.000,4616298
18.64,479,-101,2025-07-14T07:13:11.000,4616298
22.36,393,-101,2025-07-14T07:08:09.000,4616298
21.74,409,-101,2025-07-14T07:03:09.000,4616298
21.12,414,-101,2025-07-14T06:58:10.000,4616298
9.32,931,-101,2025-07-14T06:53:09.000,4616298
12.42,698,0,2025-07-14T06:48:10.000,4616298
24.85,355,0,2025-07-14T06:43:09.000,4616298
26.09,342,0,2025-07-14T06:38:10.000,4616298
26.71,331,-101,2025-07-14T06:33:09.000,4616298
32.31,273,-101,2025-07-14T06:28:09.000,4616298
33.55,266,-101,2025-07-14T06:23:09.000,4616298
36.03,247,-101,2025-07-14T06:18:09.000,4616298
36.66,242,-101,2025-07-14T06:13:10.000,4616298
37.28,238,-101,2025-07-14T06:08:10.000,4616298
38.52,231,-101,2025-07-14T06:03:10.000,4616298
37.28,239,-101,2025-07-14T05:58:10.000,4616298
15.53,558,0,2025-07-14T05:53:09.000,4616298
34.79,257,0,2025-07-14T05:48:10.000,4616298
17.39,506,0,2025-07-14T05:43:10.000,4616298
17.39,503,0,2025-07-14T05:38:10.000,4616298
35.41,251,0,2025-07-14T05:33:09.000,4616298
37.9,234,0,2025-07-14T05:28:09.000,4616298
42.25,210,0,2025-07-14T05:23:09.000,4616298
25.47,349,0,2025-07-14T05:18:09.000,4616298
45.36,198,-101,2025-07-14T05:13:09.000,4616298
45.98,193,-101,2025-07-14T05:08:10.000,4616298
0,0,-101,2025-07-14T05:03:09.000,4616298
0,0,-101,2025-07-14T04:58:08.000,4616298
42.87,208,-101,2025-07-14T04:53:08.000,4616298
47.22,190,-101,2025-07-14T04:48:08.000,4616298
48.46,184,-101,2025-07-14T04:43:09.000,4616298
49.08,182,-101,2025-07-14T04:38:08.000,4616298
47.22,189,0,2025-07-14T04:33:09.000,4616298
45.98,193,-101,2025-07-14T04:28:08.000,4616298
40.38,221,-101,2025-07-14T04:23:09.000,4616298
45.98,193,-101,2025-07-14T04:18:09.000,4616298
45.98,193,-101,2025-07-14T04:13:08.000,4616298
41.01,216,-101,2025-07-14T04:08:09.000,4616298
29.2,303,-101,2025-07-14T04:03:09.000,4616298
31.06,284,-101,2025-07-14T03:58:09.000,4616298
50.33,178,-101,2025-07-14T03:53:08.000,4616298
8.07,1081,-101,2025-07-14T03:48:08.000,4616298
9.94,861,-101,2025-07-14T03:43:09.000,4616298
12.42,699,-101,2025-07-14T03:38:09.000,4616298
12.42,700,-101,2025-07-14T03:33:09.000,4616298
45.98,193,-101,2025-07-14T03:28:08.000,4616298
48.46,184,-101,2025-07-14T03:23:09.000,4616298
45.98,195,-101,2025-07-14T03:18:08.000,4616298
44.73,199,-101,2025-07-14T03:13:09.000,4616298
46.6,192,-101,2025-07-14T03:03:08.000,4616298
49.08,181,-101,2025-07-14T02:58:08.000,4616298
49.08,181,-101,2025-07-14T02:53:09.000,4616298
49.7,179,-101,2025-07-14T02:48:08.000,4616298
50.33,178,-101,2025-07-14T02:43:08.000,4616298
3.72,2126,-101,2025-07-14T02:38:09.000,4616298
10.56,842,-101,2025-07-14T02:33:08.000,4616298
46.6,191,0,2025-07-14T02:28:09.000,4616298
9.32,945,0,2025-07-14T02:23:09.000,4616298
11.8,741,0,2025-07-14T02:18:09.000,4616298
49.7,180,-101,2025-07-14T02:13:08.000,4616298
9.94,878,-101,2025-07-14T02:08:09.000,4616298
13.67,652,-101,2025-07-14T02:03:08.000,4616298
49.08,183,-101,2025-07-14T01:58:08.000,4616298
50.33,178,-101,2025-07-14T01:53:08.000,4616298
47.84,187,-101,2025-07-14T01:48:09.000,4616298
44.73,198,0,2025-07-14T01:43:08.000,4616298
44.73,198,-101,2025-07-14T01:38:09.000,4616298
45.36,196,-101,2025-07-14T01:33:10.000,4616298
45.98,195,0,2025-07-14T01:28:08.000,4616298
45.36,197,0,2025-07-14T01:23:08.000,4616298
45.98,194,0,2025-07-14T01:18:09.000,4616298
43.49,205,0,2025-07-14T01:13:08.000,4616298
27.96,321,-101,2025-07-14T01:08:08.000,4616298
26.71,334,0,2025-07-14T01:03:09.000,4616298
24.23,366,0,2025-07-14T00:58:09.000,4616298
11.18,802,-101,2025-07-14T00:53:08.000,4616298
12.42,691,0,2025-07-14T00:48:08.000,4616298
18.64,474,-101,2025-07-14T00:43:08.000,4616298
41.63,214,-101,2025-07-14T00:38:09.000,4616298
41.01,219,0,2025-07-14T00:33:08.000,4616298
16.77,522,0,2025-07-14T00:28:08.000,4616298
12.42,709,-101,2025-07-14T00:23:09.000,4616298
36.66,245,0,2025-07-14T00:18:08.000,4616298
36.03,248,0,2025-07-14T00:13:08.000,4616298
31.68,279,0,2025-07-14T00:08:08.000,4616298
29.82,300,0,2025-07-14T00:03:08.000,4616298
29.2,304,0,2025-07-13T23:58:09.000,4616298
29.2,304,-101,2025-07-13T23:53:09.000,4616298
27.34,327,-101,2025-07-13T23:48:09.000,4616298
28.58,310,0,2025-07-13T23:43:09.000,4616298
30.44,293,-101,2025-07-13T23:38:09.000,4616298
0,0,-101,2025-07-13T23:33:09.000,4616298
0,0,-101,2025-07-13T23:28:09.000,4616298
22.99,391,-101,2025-07-13T23:23:09.000,4616298
25.47,352,-101,2025-07-13T23:18:08.000,4616298
28.58,313,-101,2025-07-13T23:13:09.000,4616298
30.44,290,-101,2025-07-13T23:08:09.000,4616298
29.2,305,-101,2025-07-13T23:03:09.000,4616298
0,0,-101,2025-07-13T22:58:10.000,4616298
0,0,-101,2025-07-13T22:53:09.000,4616298
0,0,-101,2025-07-13T22:48:09.000,4616298
0,0,-101,2025-07-13T22:43:09.000,4616298
0,0,-101,2025-07-13T22:38:10.000,4616298
0,0,-101,2025-07-13T22:33:09.000,4616298
0,0,-101,2025-07-13T22:28:09.000,4616298
9.94,862,-101,2025-07-13T22:23:09.000,4616298
9.94,862,-101,2025-07-13T22:18:11.000,4616298
0,0,-101,2025-07-13T22:13:10.000,4616298
4.34,1893,-101,2025-07-13T22:08:09.000,4616298
4.34,1893,-101,2025-07-13T22:03:10.000,4616298
0,0,-101,2025-07-13T21:58:09.000,4616298
0,0,-101,2025-07-13T21:53:09.000,4616298
28.58,309,-101,2025-07-13T21:48:09.000,4616298
29.2,301,-101,2025-07-13T21:43:10.000,4616298
27.96,317,0,2025-07-13T21:38:09.000,4616298
23.61,379,-101,2025-07-13T21:28:09.000,4616298
9.94,889,0,2025-07-13T21:23:09.000,4616298
6.83,1226,-101,2025-07-13T21:18:09.000,4616298
20.5,437,-101,2025-07-13T21:13:10.000,4616298
19.88,441,0,2025-07-13T21:08:09.000,4616298
17.39,509,0,2025-07-13T21:03:10.000,4616298
16.77,524,0,2025-07-13T20:58:10.000,4616298
18.64,474,0,2025-07-13T20:53:10.000,4616298
17.39,509,0,2025-07-13T20:48:10.000,4616298
16.15,550,-101,2025-07-13T20:43:09.000,4616298
20.5,427,-101,2025-07-13T20:38:09.000,4616298
18.64,471,-101,2025-07-13T20:33:09.000,4616298
19.88,441,0,2025-07-13T20:28:09.000,4616298
19.88,440,0,2025-07-13T20:23:09.000,4616298
18.01,486,0,2025-07-13T20:18:10.000,4616298
20.5,426,-101,2025-07-13T20:13:10.000,4616298
