Name,Duration From,Duration To,Observation 1 City,Observation 1 Street,Observation 1 Postal Code,Observation 1 Coordinates,Observation 2 City,Observation 2 Street,Observation 2 Postal Code,Observation 2 Coordinates,Distance(meters),Duration(seconds),NDT,Road Type
trafficData158324.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Hinnerup,Århusvej 72,8382,"56.23172069428216, 10.104986076057457",Hinnerup,Århusvej 0,8382,"56.22579478256016, 10.116589665412903",1030,52,71,MAJOR_ROAD
trafficData158355.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Hinnerup,Århusvej 0,8382,"56.22579478256016, 10.116589665412903",Hinnerup,Østjyske Motorvej 5,8382,"56.21740644105506, 10.10702759027481",1195,39,110,MAJOR_ROAD
trafficData158386.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Hinnerup,Århusvej 72,8382,"56.23172069428216, 10.104986076057457",Aarhus,Søftenvej 0,8200,"56.2149789163549, 10.13969570304107",2895,148,70,MAJOR_ROAD
trafficData158415.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Søftenvej 0,8200,"56.21508593264829, 10.13978019262504",Hinnerup,Århusvej 72,8382,"56.23181760050895, 10.105109457672143",2880,148,70,MAJOR_ROAD
trafficData158446.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Tilst,Østjyske Motorvej 0,8381,"56.21731711429131, 10.10711200000003",Hinnerup,Nordjyske Motorvej 0,8382,"56.23490211108693, 10.12519614484404",2345,75,113,MAJOR_ROAD
trafficData158475.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Hinnerup,Nordjyske Motorvej 0,8382,"56.23489759702643, 10.125013142824173",Hinnerup,Østjyske Motorvej 0,8382,"56.21740644105506, 10.10702759027481",2335,75,112,MAJOR_ROAD
trafficData158505.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,Søftenvej 0,8200,"56.21508593264829, 10.13978019262504",Hinnerup,Århusvej 0,8382,"56.22579478256016, 10.116589665412903",2065,106,70,MAJOR_ROAD
trafficData158536.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Hinnerup,Nordjyske Motorvej 0,8382,"56.23489759702643, 10.125013142824173",Aarhus,15 0,8200,"56.21385651069573, 10.144907008598352",3255,108,109,MAJOR_ROAD
trafficData158565.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Aarhus,15 0,8200,"56.21399075104399, 10.145073305557275",Hinnerup,Nordjyske Motorvej 0,8382,"56.23490211108693, 10.12519614484404",3030,101,108,MAJOR_ROAD
trafficData158595.csv,2014-02-13 11:30:00,2014-06-09 05:35:00,Tilst,Østjyske Motorvej 0,8381,"56.21731711429131, 10.10711200000003",Aarhus,15 0,8200,"56.21385651069573, 10.144907008598352",2850,93,110,MAJOR_ROAD
